Week,Day,Date,Platform,Content Type,Status,Theme,Hook/Title,Full Caption,Hashtags,Media Type,Media File,Link,CTA,Publish Time,Buffer Queue,Notes,Review By,Approved
1,Wednesday,2025-02-05,Instagram,Carousel,Draft,Power Goals,Why 12 Power Goals > 1 Big Resolution,"One resolution = one chance to fail. Twelve Power Goals = twelve chances to win. Which system sounds better? Share your Q1 goals below!

Slide 1: ""Why 12 Power Goals > 1 Big Resolution""
Slide 2: ""The Problem: January enthusiasm fades by February""
Slide 3: ""The Solution: 12 Power Goals - 3 per quarter""
Slide 4: ""Example Q1 Goals""
Slide 5: ""Each breaks down: Monthly → Weekly → Daily""
Slide 6: ""Save this & plan your 12""",#PowerGoals #GoalSetting #Productivity #AnnualPlanning,Carousel,carousel_power_goals.zip,,Save this post,12:00 PM,Queue 1,6 slides,Joel,No
1,Wednesday,2025-02-05,YouTube,Long-form,Draft,Complete System,How to Actually Achieve Your Goals (The Complete System),"93% of people who set goals never achieve them. And it's not because they lack willpower. Today I'm going to show you the complete goal achievement system that actually works.

This video covers:
- SMART Vision creation
- 12 Power Goals framework
- Time tracking with DRIP
- Daily MINs execution
- The 300% Rule

📲 Try Goal Achiever Pro FREE: [link]

Timestamps in description.",#productivity #goalsetting #entrepreneur #buybackyourtime,Video,longform_complete_system.mp4,goalachieverpro.com,Try free - link below,10:00 AM,Queue 1,15-18 min video - PILLAR CONTENT,Joel,No
1,Thursday,2025-02-06,X,Tweet,Draft,DRIP Matrix,The DRIP Matrix (save this):,"The DRIP Matrix (save this):

D - Delegate (drains you)
R - Replace (good at, shouldn't do)
I - Invest (builds capacity)
P - Production (highest value)

Goal: Minimize D+R. Maximize I+P.

Where's YOUR time going?",,Text,,,Retweet to save,10:00 AM,Queue 1,,Joel,No
1,Thursday,2025-02-06,LinkedIn,Post,Draft,DRIP Matrix,Not all work is created equal.,"Not all work is created equal.

The DRIP Matrix helps you categorize every task:

🔴 D - Delegation
Tasks that drain you. Someone else could (and should) do them.
Example: Email management, scheduling, data entry

🟡 R - Replacement
Tasks you're good at but shouldn't be doing.
Example: Bookkeeping, social media posting, customer support

🟢 I - Investment
Tasks that build future capacity.
Example: Learning, relationships, systems building

🔵 P - Production
Your highest-value work. Where you're 10x better than others.
Example: Sales calls, strategy, content creation (if that's your zone)

The goal:
• Minimize D and R (delegate or automate)
• Protect I (schedule it intentionally)
• Maximize P (this is where you create value)

Do a quick audit:
What did you spend time on today?
Which quadrant did it fall into?

Most entrepreneurs are shocked to find 60%+ of their time is D or R.

That's time you're buying back.",#TimeOptimization #Productivity #Delegation #TimeManagement,Text,,,Share your D+R %,8:00 AM,Queue 1,,Joel,No
1,Thursday,2025-02-06,Instagram,Carousel,Draft,DRIP Matrix,The DRIP Matrix: Where Is Your Time Going?,"Tracked my time for a week. 67% was in D and R. No wonder I felt busy but unproductive. What about you?

Slide 1: ""The DRIP Matrix: Where Is Your Time Going?""
Slide 2: ""🔴 DELEGATION - Drains you, delegate it""
Slide 3: ""🟡 REPLACEMENT - Good at it, shouldn't do it""
Slide 4: ""🟢 INVESTMENT - Builds future capacity""
Slide 5: ""🔵 PRODUCTION - Your highest-value work""
Slide 6: ""GOAL: D+R < 30% | P > 40%""",#TimeManagement #DRIP #Productivity #TimeOptimization,Carousel,carousel_drip.zip,,Save & audit yours,12:00 PM,Queue 1,6 slides,Joel,No
1,Thursday,2025-02-06,YouTube,Short,Draft,DRIP Matrix,The DRIP Matrix in 60 seconds,"Not all work is created equal. Some tasks should never be on your calendar.

D - Delegation. Drains you. Delegate it.
R - Replacement. You're good but shouldn't do it.
I - Investment. Builds future capacity.
P - Production. Your highest-value work.

Track your time for a week. Categorize everything.

If D plus R is over 50%, you're spending half your time on work you shouldn't be doing.

Goal: Minimize D and R. Maximize P.

That's how you buy back your time.",#shorts #productivity #timemanagement #entrepreneur,Video,short_drip.mp4,goalachieverpro.com,Full breakdown in bio,3:00 PM,Queue 1,55 sec vertical,Joel,No
1,Friday,2025-02-07,X,Tweet,Draft,Engagement,Friday check-in:,"Friday check-in:

What's the ONE thing that would change everything for you in the next 90 days?

Reply with yours. No explanations needed. Just the goal.",,Text,,,Reply below,10:00 AM,Queue 1,Engagement post,Joel,No
1,Friday,2025-02-07,LinkedIn,Post,Draft,Engagement,Friday reflection question:,"Friday reflection question:

If you could only accomplish ONE thing in the next 90 days that would change everything...

What would it be?

Not ten things. Not ""it depends.""

One thing.

Share below - I'm curious what you're building toward.",#FridayReflection #GoalSetting #Focus,Text,,,Comment your ONE thing,8:00 AM,Queue 1,Engagement post,Joel,No
1,Friday,2025-02-07,Instagram,Story,Draft,Engagement,Weekend Poll,"This week I felt:
A) Focused & productive
B) Busy but scattered
C) Overwhelmed
D) Coasting

+ Question box: ""What's your ONE focus for next week?""",#FridayFeels,Story,story_poll_friday.png,,Vote & share,12:00 PM,Queue 1,Poll + Question sticker,Joel,No
1,Saturday,2025-02-08,X,Tweet,Draft,Weekend,Saturday morning = weekly planning time,"Saturday morning = weekly planning time

30 minutes now saves 5+ hours of chaos next week.

What's on your planning agenda?",,Text,,,Reply below,10:00 AM,Queue 1,Lighter weekend content,Joel,No
1,Saturday,2025-02-08,Instagram,Reel,Draft,Weekend,POV: Saturday planning instead of winging it,"30 minutes of planning saves 5+ hours of chaos. What does your Saturday planning look like?

Show: Saturday morning, coffee, notebook/app, planning session

Text overlay: ""POV: It's Saturday and you're planning next week instead of winging it""",#WeekendPlanning #Productivity #SaturdayVibes,Video,reel_saturday_planning.mp4,,Like if you plan,12:00 PM,Queue 1,Behind-the-scenes vibe,Joel,No
1,Sunday,2025-02-09,X,Tweet,Draft,Sunday Prep,Sunday night 5-minute routine:,"Sunday night 5-minute routine:

1. What's my #1 priority tomorrow?
2. What could derail me?
3. How will I protect focus?

Monday morning you will thank Sunday night you.

What's your #1 priority tomorrow?",,Text,,,Share yours,7:00 PM,Queue 1,,Joel,No
1,Sunday,2025-02-09,LinkedIn,Post,Draft,Sunday Prep,Sunday night routine that changed my Mondays:,"Sunday night routine that changed my Mondays:

Before bed, I answer 3 questions:

1. What's my #1 priority tomorrow? (Just one thing that MUST happen)

2. What could derail me? (Meetings? Low energy? Unclear tasks?)

3. How will I protect my focus? (Block time? Airplane mode? Different location?)

Takes 5 minutes.

Monday morning: Hit the ground running instead of figuring out what to do.

What's YOUR Monday #1 priority?",#SundayRoutine #MondayMotivation #Productivity,Text,,,Share your Monday priority,5:00 PM,Queue 1,,Joel,No
1,Sunday,2025-02-09,Instagram,Carousel,Draft,Sunday Prep,The 5-Minute Sunday Routine,"This simple routine transformed my Mondays from chaotic to focused. Try it tonight and let me know how tomorrow goes!

Slide 1: ""The 5-Minute Sunday Routine""
Slide 2: ""Question 1: What's my #1 priority tomorrow?""
Slide 3: ""Question 2: What could derail me?""
Slide 4: ""Question 3: How will I protect my focus?""
Slide 5: ""5 minutes tonight = crushing it tomorrow""",#SundayRoutine #MondayMotivation #Productivity #WeeklyPlanning,Carousel,carousel_sunday_routine.zip,,Try tonight,4:00 PM,Queue 1,4 slides,Joel,No
2,Monday,2025-02-10,X,Tweet,Draft,Time Audit,Tracked my time in 15-min blocks.,"Tracked my time in 15-min blocks.

What I thought: ""I work on important stuff""

What I found:
- 3.5 hrs/day on email
- 2 hrs on Slack
- 1.5 hrs on pointless meetings

7 hours of ""productive"" busy work.

You can't optimize what you don't measure.",,Text,,,Retweet if relatable,10:00 AM,Queue 1,,Joel,No
2,Monday,2025-02-10,LinkedIn,Post,Draft,Time Audit,The 15-minute revelation.,"The 15-minute revelation.

I tracked my time in 15-minute blocks for 2 weeks.

Here's what I discovered:

🔴 3.5 hours/day on email (that felt like 1 hour)
🔴 2 hours/day on ""quick"" Slack messages
🔴 1.5 hours/day on meetings that accomplished nothing

That's 7 hours/day of low-value work that FELT productive.

Meanwhile:
🟢 Only 2 hours/day on revenue-generating activities
🟢 Zero hours on strategic planning
🟢 30 minutes on learning/development

The time audit doesn't lie.

You can't optimize what you don't measure.

This week's challenge: Track every 15-minute block for 5 days.

What you discover will shock you.",#TimeTracking #Productivity #TimeAudit #TimeOptimization,Text,,,Take the challenge,8:00 AM,Queue 1,,Joel,No
2,Monday,2025-02-10,Instagram,Reel,Draft,Time Audit,I tracked my time for 2 weeks. Here's what I found.,"This week's challenge: Track your time in 15-minute blocks. What you discover will change everything. Who's in?

Script:
""I tracked my time for 2 weeks. Here's what I found.

I thought I spent maybe an hour on email. It was 3.5 hours.

I thought Slack was quick check-ins. 2 hours gone.

Meetings I thought were important? 1.5 hours of nothing.

7 hours a day on stuff that felt productive but wasn't.

Only 2 hours on things that actually made money.

The time audit doesn't lie.""",#TimeTracking #Productivity #RealityCheck,Video,reel_time_audit.mp4,,Comment ""IN"" to join,12:00 PM,Queue 1,Reveal format,Joel,No
2,Monday,2025-02-10,YouTube,Short,Draft,Time Audit,Time audit reality check,"I tracked my time in 15-minute blocks. Here's what I found.

What I thought: I spend about an hour on email.
Reality: Three and a half hours.

Slack quick check-ins: Two hours.
Meetings that accomplished nothing: Hour and a half.

Seven hours a day. On work that felt productive. But wasn't.

You can't optimize what you don't measure. Try it for one week.",#shorts #productivity #timemanagement #realitycheck,Video,short_time_audit.mp4,goalachieverpro.com,Track yours,3:00 PM,Queue 1,50 sec,Joel,No
2,Tuesday,2025-02-11,X,Tweet,Draft,Energy,Time management without energy management = half the equation,"Time management without energy management = half the equation

Track your energy (1-5) every hour for a week.

You'll discover:
- Your peak hours (protect these!)
- Your low hours (do admin here)
- Energy vampires (eliminate these)

When are your peak hours?",,Text,,,Reply with yours,10:00 AM,Queue 1,,Joel,No
2,Tuesday,2025-02-11,LinkedIn,Post,Draft,Energy,Time management is incomplete without energy management.,"Time management is incomplete without energy management.

Here's what I added to my 15-minute time tracking:

Energy rating (1-5) for each block:

⚡⚡⚡⚡⚡ (5) - Peak state, crushing it
⚡⚡⚡⚡ (4) - High energy, focused
⚡⚡⚡ (3) - Neutral, getting by
⚡⚡ (2) - Sluggish, forcing it
⚡ (1) - Running on fumes

After 2 weeks, patterns emerged:

My peak hours: 6am-10am (consistently 4-5 energy)
My low hours: 2pm-4pm (consistently 2-3 energy)

The mistake I was making:
❌ Creative work at 3pm (low energy)
❌ Email at 8am (peak energy)

The fix:
✅ Deep work and sales calls: 6am-10am
✅ Admin and email: 2pm-4pm
✅ Meetings: Only after 10am

Same hours. Completely different output.

When are YOUR peak hours?",#EnergyManagement #Productivity #TimeBlocking #PeakPerformance,Text,,,Share your peak hours,8:00 AM,Queue 1,,Joel,No
2,Tuesday,2025-02-11,Instagram,Carousel,Draft,Energy,Why Time Management Alone Doesn't Work,"When are YOUR peak energy hours? Mine are early morning. Comment yours!

Slide 1: ""Why Time Management Alone Doesn't Work""
Slide 2: ""The Missing Piece: ENERGY - Rate every hour 1-5""
Slide 3: ""My Discovery: Peak 6-10am, Low 2-4pm""
Slide 4: ""The Fix: Peak hours → Deep work, Low hours → Admin""
Slide 5: ""Same hours. Different arrangement. Different results.""",#EnergyManagement #Productivity #TimeBlocking #PeakPerformance,Carousel,carousel_energy.zip,,Share your peak hours,12:00 PM,Queue 1,5 slides,Joel,No
2,Wednesday,2025-02-12,X,Tweet,Draft,MINs,3 MINs every night.,"3 MINs every night.

(Most Important Next Steps)

Rules:
- Max 3 (focus!)
- Specific & actionable
- Tied to a Power Goal
- Time blocked

Wake up knowing exactly what to do.

What are your 3 MINs tomorrow?",,Text,,,Share yours,10:00 AM,Queue 1,,Joel,No
2,Wednesday,2025-02-12,LinkedIn,Post,Draft,MINs,The 3 MINs that changed my days:,"The 3 MINs that changed my days:

MINs = Most Important Next Steps

Every night, I write down 3 MINs for tomorrow.

Rules:

1. Maximum 3 (focus, not a to-do list)
2. Must be specific and actionable
3. Must move a Power Goal forward
4. Scheduled with a time block

Bad MIN: ""Work on marketing""
Good MIN: ""Write 500 words of email sequence for launch (9am-10am)""

Bad MIN: ""Catch up on stuff""
Good MIN: ""Record video 3 of course module 2 (6am-7am)""

The magic:
- Wake up knowing exactly what to do
- Zero decision fatigue
- By 10am, already won the day

What are YOUR 3 MINs for tomorrow?",#MINs #Productivity #DailyPlanning #Focus,Text,,,Share your MINs,8:00 AM,Queue 1,,Joel,No
2,Wednesday,2025-02-12,Instagram,Reel,Draft,MINs,The 3 MINs system that transformed my mornings,"What are YOUR 3 MINs for tomorrow? Drop them in the comments!

Script:
""The 3 MINs system that transformed my mornings.

Every night I write down my 3 Most Important Next Steps.

Not a to-do list. Not 10 things. Just 3.

Each one has to be specific. 'Work on marketing' doesn't count.

'Write 500 words of launch email from 9 to 10am' - that counts.

I wake up. I know exactly what to do. Zero decision fatigue.

By 10am, I've already won the day.""",#MINs #MorningRoutine #Productivity #DailyPlanning,Video,reel_mins.mp4,,Share your 3 MINs,12:00 PM,Queue 1,45 sec,Joel,No
2,Wednesday,2025-02-12,YouTube,Long-form,Draft,Time Audit,How I Found 22 Hours/Week I Was Wasting (Time Audit Tutorial),"I tracked my time in 15-minute blocks for two weeks. What I found was embarrassing. Here's exactly how to do this audit yourself.

Covers:
- Setting up 15-min blocks
- Energy ratings
- DRIP categorization
- Analyzing results
- Taking action

📲 Try Goal Achiever Pro FREE: [link]
📄 Free Time Audit Template: [link]",#productivity #timemanagement #timeaudit #entrepreneur,Video,longform_time_audit.mp4,goalachieverpro.com,Template in description,10:00 AM,Queue 1,12-15 min tutorial,Joel,No
2,Thursday,2025-02-13,X,Tweet,Draft,App Feature,Just shipped: Progress Page 📊,"Just shipped: Progress Page 📊

• Roll-up view: Daily → Weekly → Monthly → Power Goal
• Goal health scoring
• Activity trends over time

The insight that hit: 80% task completion, 40% goal progress.

Busy ≠ productive.

This makes it visible instantly.",,Text,,,Check it out,10:00 AM,Queue 1,Build in public,Joel,No
2,Thursday,2025-02-13,LinkedIn,Post,Draft,App Feature,Tracking goals is easy. Knowing if you're on track? That's the hard part.,"Tracking goals is easy. Knowing if you're actually on track? That's the hard part.

Just shipped a new Progress page that changes everything:

📊 Roll-up View
See how your daily actions roll up to weekly targets, monthly targets, and Power Goals. One glance tells you if you're on track.

🎯 Goal Health Scoring
Each goal gets a health score based on:
• Completion rate
• Consistency
• Time spent in Production hours

📈 Activity Trends
See what you actually spend time on over weeks and months. Patterns emerge that you'd never notice day-to-day.

The insight that hit me:

I was 80% complete on my tasks but only 40% toward my actual goals.

Busy ≠ productive.

The Progress page makes that visible instantly.

What would you discover if you could see your real progress?",#BuildInPublic #ProductivityApp #GoalTracking #Metrics,Text,,,Link in comments,8:00 AM,Queue 1,,Joel,No
2,Thursday,2025-02-13,Instagram,Carousel,Draft,App Feature,New Feature: The Progress Page,"This changed how I look at my weeks. What's YOUR task completion vs goal progress ratio?

Slide 1: ""New Feature: The Progress Page""
Slide 2: ""📊 Roll-up View - Daily → Weekly → Monthly → Goals""
Slide 3: ""🎯 Goal Health Scoring""
Slide 4: ""📈 The Insight: 80% tasks done, 40% goal progress""
Slide 5: ""Try it: Link in bio""",#ProductivityApp #GoalTracking #Progress #BuildInPublic,Carousel,carousel_progress_page.zip,,Link in bio,12:00 PM,Queue 1,5 slides with app screenshots,Joel,No
2,Friday,2025-02-14,X,Tweet,Draft,Engagement,Friday poll: What productivity metric matters most?,"Friday poll: What productivity metric matters most?

A) Time on high-value work
B) Goal completion %
C) Energy levels
D) Consistency streaks

Reply with your letter!",,Text,,,Vote below,10:00 AM,Queue 1,Engagement,Joel,No
2,Friday,2025-02-14,LinkedIn,Post,Draft,Week Recap,Week 2 recap: Time is your most valuable asset.,"Week 2 recap: Time is your most valuable asset.

This week we covered:

📊 15-minute time tracking (measure to optimize)
⚡ Energy mapping (match tasks to energy levels)
🎯 MINs (3 most important next steps daily)
🚀 How the system comes together in Goal Achiever Pro
📈 Real results (22 hours/week reclaimed)

Key insight: You can't buy back time you don't know you're losing.

The time audit reveals where your hours actually go.

Next week: Building routines and systems that protect your peak hours.

What was your biggest takeaway this week?",#WeeklyRecap #TimeManagement #Productivity,Text,,,Share your takeaway,8:00 AM,Queue 1,,Joel,No
